Group;Participant;CollabEnvironememnt;trialNb;training;MoveMode;CardToTag;nbMove;distTotal;nbRotate;rotateTotal;trialTime;moveTime;
g01;p01;C;0;1;drag;12;5;372;0;138;10.40622;0.05613708;
g01;p01;C;1;1;sync;28;0;636;0;636;20.65665;0;
g01;p01;C;2;1;drag;40;4;61;0;328;8.141174;0.04367065;
g01;p01;C;3;1;sync;2;0;629;0;629;15.20807;0;
#pause;
g01;p01;C;4;1;TP;20;1;1;0;1;11.99438;0.5109711;
g01;p01;C;5;1;sync;15;0;2;0;3;8.45166;1.040894;
g01;p01;C;6;1;TP;0;1;1;0;0;8.88475;0.5107574;
g01;p01;C;7;1;sync;50;0;4;0;5;18.53496;2.057587;
#pause;
g01;p01;C;8;1;joy;36;7;158;6;82;11.23932;4.919861;
g01;p01;C;9;1;sync;9;0;522;0;522;7.42868;0;
g01;p01;C;10;1;joy;22;3;399;11;374;18.54739;0.8327942;
g01;p01;C;11;1;sync;47;0;600;0;600;12.61029;0;
#pause;
